"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
40, 6.363800168040000e-01, -4.233084266562091e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
41, 6.211299896240000e-01, -4.367359094194759e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
42, 6.057599782940000e-01, -4.498807223669178e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
43, 5.902799963950000e-01, -4.627132533375768e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
44, 5.747100114820000e-01, -4.751950934859488e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
45, 5.590599775310000e-01, -4.872955796694115e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
46, 5.433599948880000e-01, -4.989683951066199e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
47, 5.276100039480000e-01, -5.101897737545535e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
48, 5.118399858470000e-01, -5.209138375948307e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
49, 4.960500001910000e-01, -5.311153541819326e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
50, 4.802699983120000e-01, -5.407492053959814e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
51, 4.645099937920000e-01, -5.497835513414191e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
52, 4.487800002100000e-01, -5.581859897363720e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
53, 4.331099987030000e-01, -5.659141825851464e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
54, 4.174999892710000e-01, -5.729416860686566e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
55, 4.019699990750000e-01, -5.792324246601335e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
56, 3.865399956700000e-01, -5.847520956655861e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
57, 3.712300062180000e-01, -5.894684318665333e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
58, 3.560400009160000e-01, -5.933561549045978e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
59, 3.409900069240000e-01, -5.963847719943702e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
60, 3.261100053790000e-01, -5.985254444802346e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
61, 3.113999962810000e-01, -5.997565198183213e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
62, 2.968699932100000e-01, -6.000550062925582e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
63, 2.825500071050000e-01, -5.994005483718394e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
64, 2.684499919410000e-01, -5.977765596976551e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
65, 2.545700073240000e-01, -5.951657836311273e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
66, 2.409400045870000e-01, -5.915585896897953e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
67, 2.275699973110000e-01, -5.869456802648413e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
68, 2.144699990750000e-01, -5.813197420944613e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
69, 2.016600072380000e-01, -5.746811193675738e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
70, 1.891400069000000e-01, -5.670228146432130e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
71, 1.769299954180000e-01, -5.583513598033686e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
72, 1.650400012730000e-01, -5.486709202536137e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
73, 1.534900069240000e-01, -5.379977779145956e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
74, 1.422899961470000e-01, -5.263443049277360e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
75, 1.314399987460000e-01, -5.137133628795417e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
76, 1.209499984980000e-01, -5.001187382363489e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
77, 1.108499988910000e-01, -4.856066993422563e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
78, 1.011300012470000e-01, -4.701715290498424e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
79, 9.181000292300000e-02, -4.538527151431038e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
80, 8.290000259900000e-02, -4.366791468532204e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
81, 7.440000027400000e-02, -4.186607976498817e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
82, 6.633000075800000e-02, -3.998513962421356e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
83, 5.869000032500000e-02, -3.802635805630503e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
84, 5.149000138000000e-02, -3.599337852580232e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
85, 4.473999887700000e-02, -3.389028465845557e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
86, 3.844000026600000e-02, -3.171811260404538e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
87, 3.260000050100000e-02, -2.948109446637338e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
88, 2.723000012300000e-02, -2.718419978786347e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
89, 2.232000045500000e-02, -2.482329437156798e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
90, 1.789999939500000e-02, -2.241364555514381e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
91, 1.394999958600000e-02, -1.994492353858276e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
92, 1.049000024800000e-02, -1.742916196961543e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
93, 7.519999985000000e-03, -1.486756313872443e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
94, 5.040000193000000e-03, -1.226032473458219e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
95, 3.049999941000000e-03, -9.605565346412577e-03, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
96, 1.560000004000000e-03, -6.917517506923035e-03, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
97, 5.600000150000000e-04, -4.173159738460802e-03, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
98, 5.999999800000000e-05, -1.375329724321098e-03, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
99, 0.000000000000000e+00, 0.000000000000000e+00, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
100, 5.999999800000000e-05, 1.375329724321098e-03, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
101, 5.600000150000000e-04, 4.173159738460802e-03, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
102, 1.560000004000000e-03, 6.917517506923035e-03, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
103, 3.049999941000000e-03, 9.605565346412577e-03, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
104, 5.040000193000000e-03, 1.226032473458219e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
105, 7.519999985000000e-03, 1.486756313872443e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
106, 1.049000024800000e-02, 1.742916196961543e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
107, 1.394999958600000e-02, 1.994492353858276e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
108, 1.789999939500000e-02, 2.241364555514381e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
109, 2.232000045500000e-02, 2.482329437156798e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
110, 2.723000012300000e-02, 2.718419978786347e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
111, 3.260000050100000e-02, 2.948109446637338e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
112, 3.844000026600000e-02, 3.171811260404538e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
113, 4.473999887700000e-02, 3.389028465845557e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
114, 5.149000138000000e-02, 3.599337852580232e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
115, 5.869000032500000e-02, 3.802635805630503e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
116, 6.633000075800000e-02, 3.998513962421356e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
117, 7.440000027400000e-02, 4.186607976498817e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
118, 8.290000259900000e-02, 4.366791468532204e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
119, 9.181000292300000e-02, 4.538527151431038e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
120, 1.011300012470000e-01, 4.701715290498424e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
121, 1.108499988910000e-01, 4.856066993422563e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
122, 1.209499984980000e-01, 5.001187382363489e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
123, 1.314399987460000e-01, 5.137133628795417e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
124, 1.422899961470000e-01, 5.263443049277360e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
125, 1.534900069240000e-01, 5.379977779145956e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
126, 1.650400012730000e-01, 5.486709202536137e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
127, 1.769299954180000e-01, 5.583513598033686e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
128, 1.891400069000000e-01, 5.670228146432130e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
129, 2.016600072380000e-01, 5.746811193675738e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
130, 2.144699990750000e-01, 5.813197420944613e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
