"PointID"	"x"	"y"	"Density"	"X-Momentum"	"Y-Momentum"	"Energy"	"Pressure"	"Temperature"	"Mach"	"Pressure_Coefficient"
1836	2.000000000000001e-02	2.800000000000000e-01	1.188120874200012e+61	-3.541160194666594e+67	-4.106272574305521e+67	1.503718653086266e+75	3.449971097986493e+74	1.451860316951941e+11	7.575130949260022e-01	6.899942195972985e+74	
1837	0.000000000000000e+00	2.800000000000000e-01	6.643416865812748e+61	-1.617243182811155e+69	-1.151337098037170e+69	4.841198818863061e+76	4.687662616718326e+75	3.528050934784177e+11	3.181831556897256e+00	9.375325233436652e+75	
1838	4.000000000000003e-02	2.800000000000000e-01	9.645661315256311e+60	-6.016809367711501e+67	-6.889806149228656e+66	1.246912157960239e+75	2.641980049279016e+74	1.369517321274934e+11	1.073023627811407e+00	5.283960098558031e+74	
1839	5.999999999999996e-02	2.800000000000000e-01	2.585158723537667e+62	1.245116268397499e+67	-2.663738800819026e+68	2.034122407889258e+75	4.741467966402573e+74	9.170554835244505e+09	6.812563231779398e-01	9.482935932805147e+74	
1840	7.999999999999997e-02	2.800000000000000e-01	1.208357220898146e+63	6.299444747319683e+68	5.888744466154039e+67	9.274591896732437e+75	2.277238678419708e+75	9.422870319453571e+09	3.411415618906455e-01	4.554477356839417e+75	
1841	9.999999999999999e-02	2.800000000000000e-01	2.585021791297153e+63	6.782420540895031e+68	-4.239041826647267e+69	2.294529940202725e+76	4.845157900094342e+75	9.371599721917746e+09	1.084964567943488e+00	9.690315800188683e+75	
1842	1.200000000000000e-01	2.800000000000000e-01	1.712531195583805e+62	1.447148300657806e+68	-2.441547255537731e+68	1.257928828457087e+76	3.086024666269937e+75	9.010126864339850e+10	3.491960878755250e-01	6.172049332539873e+75	
1843	1.400000000000000e-01	2.800000000000000e-01	1.023191306355520e+63	1.114019006001625e+69	-1.897933014060524e+69	2.816622695894572e+76	6.449879987609236e+75	3.151844600098738e+10	7.662251852919161e-01	1.289975997521847e+76	
1844	1.600000000000000e-01	2.800000000000000e-01	4.105801787356539e+63	1.388454599220861e+70	4.123137179261125e+68	1.848101147514472e+77	4.032820042005790e+76	4.911123637805057e+10	9.655275529503491e-01	8.065640084011581e+76	
1845	1.799999999999999e-01	2.800000000000000e-01	1.393984450366028e+63	-5.643022331190351e+68	1.099974348533845e+70	2.881465311174285e+77	6.115839147959809e+76	2.193654006095237e+11	1.066943209547149e+00	1.223167829591962e+77	
1846	2.000000000000000e-01	2.800000000000000e-01	1.124035699896868e+64	-1.418639596852287e+70	-5.626643947131068e+69	1.842788317873150e+77	4.347956609563044e+76	1.934082969945695e+10	6.174604724774931e-01	8.695913219126089e+76	
1847	2.200000000000000e-01	2.800000000000000e-01	8.499528017819860e+61	-3.575091539945926e+67	8.701156551036529e+67	2.962074962435998e+75	7.275045760784644e+74	4.279676321751042e+10	3.383609758084640e-01	1.455009152156929e+75	
