"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
174, 8.521599769590000e-01, 1.960709133914372e-02, 1.012570603207437e+05, -2.394687506832658e-02, 2.020626533109665e-01
175, 8.631799817090000e-01, 1.826569132102762e-02, 1.012878970737807e+05, -1.307776469608935e-02, 2.009651021786609e-01
176, 8.738499879840000e-01, 1.694956337677533e-02, 1.013192717987745e+05, -2.019033952099621e-03, 1.998385229636457e-01
177, 8.841500282290000e-01, 1.566269158090452e-02, 1.013513804015895e+05, 9.298368612154632e-03, 1.986863486157927e-01
178, 8.940600156780000e-01, 1.440916392228702e-02, 1.013841061569117e+05, 2.083330052226924e-02, 1.974995033035489e-01
179, 9.035800099370001e-01, 1.319055953446835e-02, 1.014177441502848e+05, 3.268977134565242e-02, 1.962786086897612e-01
180, 9.126999974250000e-01, 1.200973104171110e-02, 1.014522161951578e+05, 4.484022246584382e-02, 1.950165505817078e-01
181, 9.214000105860000e-01, 1.087086069705918e-02, 1.014876964052839e+05, 5.734602420920893e-02, 1.937100861820796e-01
182, 9.296900033950000e-01, 9.774221272349531e-03, 1.015242450102294e+05, 7.022840584729689e-02, 1.923505592633409e-01
183, 9.375399947170000e-01, 8.725349486403867e-03, 1.015620594594962e+05, 8.355696291852896e-02, 1.909368940525712e-01
184, 9.449599981310000e-01, 7.724467125531491e-03, 1.016012217270528e+05, 9.736058900030373e-02, 1.894585113420607e-01
185, 9.519400000570000e-01, 6.774428848839826e-03, 1.016419778631492e+05, 1.117260100628237e-01, 1.879095356919113e-01
186, 9.584699869160000e-01, 5.878077433056352e-03, 1.016844952304021e+05, 1.267122168418907e-01, 1.862778946195404e-01
187, 9.645400047300000e-01, 5.038225493362627e-03, 1.017290111836834e+05, 1.424028704252115e-01, 1.845520654790452e-01
188, 9.701499938960000e-01, 4.256268552403566e-03, 1.017758788751150e+05, 1.589224472577730e-01, 1.827150725210922e-01
189, 9.752799868580000e-01, 3.536324145770189e-03, 1.018254483359321e+05, 1.763943237573836e-01, 1.807476371432267e-01
190, 9.799500107769999e-01, 2.876826092032643e-03, 1.018783594223126e+05, 1.950440316917166e-01, 1.786204666983517e-01
191, 9.841300249100000e-01, 2.283176811071472e-03, 1.019353090311199e+05, 2.151172081068208e-01, 1.763013643995917e-01
192, 9.878399968150000e-01, 1.753609743384430e-03, 1.019970502094392e+05, 2.368792814631943e-01, 1.737102355106470e-01
193, 9.910500049590000e-01, 1.293363843462116e-03, 1.020653100099009e+05, 2.609389904835580e-01, 1.708147176624720e-01
194, 9.937800168990000e-01, 9.004365425509819e-04, 1.021416465497527e+05, 2.878455287979764e-01, 1.674582541388988e-01
195, 9.960200190539999e-01, 5.769983605901485e-04, 1.022326058762122e+05, 3.199061986578437e-01, 1.635549658063552e-01
196, 9.977599978450000e-01, 3.251111630156300e-04, 1.023377027338947e+05, 3.569499608384141e-01, 1.586119225635384e-01
197, 9.990000128750000e-01, 1.452537504052920e-04, 1.024854802559836e+05, 4.090374875695537e-01, 1.524303742938378e-01
198, 9.997500181200000e-01, 3.632896519016437e-05, 1.026589330092906e+05, 4.701748296819140e-01, 1.440892876134469e-01
